    Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.35s
     Running `target/debug/user-auth-plugin`
[2025-12-10 00:05:24.910 INFO] 🟢 Logging initialized successfully
[2025-12-10 00:05:24.910 INFO] Connecting to Postgres at 127.0.0.1:5432/user_auth_plugin_dev
[2025-12-10 00:05:24.976 INFO] ✅ Postgres connected successfully
[2025-12-10 00:05:24.976 INFO] 🚀 Actix server running on http://0.0.0.0:5500
[2025-12-10 00:05:24.976 INFO] starting 12 workers
[2025-12-10 00:05:24.977 INFO] Actix runtime found; starting in Actix runtime
[2025-12-10 00:05:24.977 INFO] starting service: "actix-web-service-0.0.0.0:5500", workers: 12, listening on: 0.0.0.0:5500
[2025-12-10 00:12:38.559 INFO] [200] POST /api/auth/login | 127.0.0.1 | 852.581372ms
[2025-12-10 00:12:38.664 INFO] [200] POST /auth/logout | 127.0.0.1 | 3.204119ms
[2025-12-10 00:12:38.767 INFO] [401] POST /auth/logout | 127.0.0.1 | 66.073µs
[2025-12-10 00:12:38.869 INFO] [401] POST /auth/logout | 127.0.0.1 | 108.446µs
[2025-12-10 00:12:38.973 INFO] [200] POST /auth/logout | 127.0.0.1 | 2.583048ms
[2025-12-10 00:12:40.579 INFO] [200] POST /api/auth/register | 127.0.0.1 | 877.00817ms
[2025-12-10 00:12:41.464 INFO] [200] POST /api/auth/login | 127.0.0.1 | 783.24464ms
[2025-12-10 00:12:41.566 INFO] [401] POST /api/auth/refresh | 127.0.0.1 | 71.177µs
[2025-12-10 00:12:41.668 INFO] [401] POST /api/auth/refresh | 127.0.0.1 | 70.204µs
[2025-12-10 00:12:41.770 INFO] [401] POST /api/auth/refresh | 127.0.0.1 | 75.075µs
[2025-12-10 00:12:41.872 INFO] [401] POST /api/auth/refresh | 127.0.0.1 | 71.51µs
[2025-12-10 00:12:44.216 INFO] [200] POST /api/auth/register | 127.0.0.1 | 822.99789ms
[2025-12-10 00:12:45.100 INFO] [200] POST /api/auth/login | 127.0.0.1 | 782.180416ms
[2025-12-10 00:12:45.205 INFO] [200] GET /users | 127.0.0.1 | 2.510556ms
[2025-12-10 00:12:45.306 INFO] [401] GET /users | 127.0.0.1 | 96.936µs
[2025-12-10 00:12:45.408 INFO] [401] GET /users | 127.0.0.1 | 117.476µs
[2025-12-10 00:12:45.510 INFO] [401] GET /users | 127.0.0.1 | 210.786µs
[2025-12-10 00:12:47.126 INFO] [200] POST /api/auth/register | 127.0.0.1 | 871.405663ms
[2025-12-10 00:12:48.147 INFO] [200] POST /api/auth/register | 127.0.0.1 | 919.006579ms
[2025-12-10 00:12:49.059 INFO] [200] POST /api/auth/register | 127.0.0.1 | 809.087374ms
[2025-12-10 00:12:49.950 INFO] [200] POST /api/auth/login | 127.0.0.1 | 789.956987ms
[2025-12-10 00:12:50.070 INFO] [200] GET /users/all | 127.0.0.1 | 18.079318ms
[2025-12-10 00:12:50.175 INFO] [401] GET /users/all | 127.0.0.1 | 77.024µs
[2025-12-10 00:12:50.277 INFO] [401] GET /users/all | 127.0.0.1 | 116.875µs
[2025-12-10 00:12:51.872 INFO] [200] POST /api/auth/register | 127.0.0.1 | 803.58161ms
[2025-12-10 00:12:52.767 INFO] [200] POST /api/auth/register | 127.0.0.1 | 793.480842ms
[2025-12-10 00:12:53.674 INFO] [200] POST /api/auth/login | 127.0.0.1 | 804.823946ms
[2025-12-10 00:12:53.791 INFO] [200] PUT /users | 127.0.0.1 | 15.479875ms
[2025-12-10 00:12:53.899 INFO] [200] PUT /users | 127.0.0.1 | 6.347805ms
[2025-12-10 00:12:54.006 INFO] [400] PUT /users | 127.0.0.1 | 4.147236ms
[2025-12-10 00:12:54.111 INFO] [400] PUT /users | 127.0.0.1 | 3.114337ms
[2025-12-10 00:12:54.212 INFO] [401] PUT /users | 127.0.0.1 | 67.973µs
[2025-12-10 00:12:54.315 INFO] [422] PUT /users | 127.0.0.1 | 398.799µs
[2025-12-10 00:12:54.417 INFO] [400] PUT /users | 127.0.0.1 | 347.106µs
[2025-12-10 00:12:55.992 INFO] [200] POST /api/auth/register | 127.0.0.1 | 814.303823ms
[2025-12-10 00:12:56.930 INFO] [200] POST /api/auth/login | 127.0.0.1 | 835.442506ms
[2025-12-10 00:12:57.045 INFO] [200] DELETE /users | 127.0.0.1 | 13.724619ms
[2025-12-10 00:12:57.215 INFO] [401] POST /api/auth/login | 127.0.0.1 | 67.49774ms
[2025-12-10 00:12:58.107 INFO] [200] POST /api/auth/register | 127.0.0.1 | 790.734659ms
[2025-12-10 00:12:58.209 INFO] [401] DELETE /users | 127.0.0.1 | 81.609µs
[2025-12-10 00:12:58.311 INFO] [401] DELETE /users | 127.0.0.1 | 120.361µs
[2025-12-10 00:12:58.415 INFO] [404] DELETE /users | 127.0.0.1 | 2.077865ms
[2025-12-10 00:12:59.996 INFO] [200] POST /api/auth/register | 127.0.0.1 | 833.06861ms
[2025-12-10 00:13:00.924 INFO] [200] POST /api/auth/login | 127.0.0.1 | 826.465123ms
[2025-12-10 00:13:01.043 INFO] [200] PUT /users/details | 127.0.0.1 | 16.644513ms
[2025-12-10 00:13:01.149 INFO] [200] PUT /users/details | 127.0.0.1 | 4.227593ms
[2025-12-10 00:13:01.255 INFO] [200] PUT /users/details | 127.0.0.1 | 4.194517ms
[2025-12-10 00:13:01.357 INFO] [401] PUT /users/details | 127.0.0.1 | 71.434µs
[2025-12-10 00:13:01.460 INFO] [400] PUT /users/details | 127.0.0.1 | 459.831µs
[2025-12-10 00:13:01.562 INFO] [400] PUT /users/details | 127.0.0.1 | 482.78µs
[2025-12-10 00:13:01.678 INFO] [200] PUT /users/details | 127.0.0.1 | 14.925453ms
[2025-12-10 00:13:03.488 INFO] [200] POST /api/auth/register | 127.0.0.1 | 824.201347ms
[2025-12-10 00:13:04.376 INFO] [200] POST /api/auth/login | 127.0.0.1 | 785.22312ms
[2025-12-10 00:13:04.510 INFO] [200] PATCH /users/uploads | 127.0.0.1 | 14.070517ms
[2025-12-10 00:13:04.633 INFO] [401] PATCH /users/uploads | 127.0.0.1 | 76.999µs
[2025-12-10 00:13:04.736 INFO] [400] PATCH /users/uploads | 127.0.0.1 | 502.455µs
[2025-12-10 00:13:04.839 INFO] [400] PATCH /users/uploads | 127.0.0.1 | 353.975µs
[2025-12-10 00:13:23.672 INFO] [400] PATCH /users/uploads | 127.0.0.1 | 7.593668ms
[2025-12-10 00:20:04.989 INFO] ping on idle connection returned error error=error communicating with database: expected to read 5 bytes, got 0 bytes at EOF
